image_name,accuracy,matches,size
0001TP_008220,0.9223466435185185,637526,691200
0001TP_008250,0.9191478587962963,635315,691200
0001TP_008280,0.901958912037037,623434,691200
0001TP_008310,0.9218185763888889,637161,691200
0001TP_008340,0.9159780092592592,633124,691200
0001TP_008370,0.9241521990740741,638774,691200
0001TP_008400,0.9005396412037037,622453,691200
0001TP_008430,0.7928472222222223,548016,691200
0001TP_008460,0.8335445601851852,576146,691200
0001TP_008490,0.9333203125,645111,691200
0001TP_008520,0.9132523148148148,631240,691200
0001TP_008550,0.8929846643518519,617231,691200
0001TP_008580,0.8931293402777778,617331,691200
0001TP_008610,0.8815697337962963,609341,691200
0001TP_008640,0.8626157407407408,596240,691200
0001TP_008670,0.8576244212962963,592790,691200
0001TP_008700,0.8896021412037037,614893,691200
0001TP_008730,0.896763599537037,619843,691200
0001TP_008760,0.8594212962962963,594032,691200
0001TP_008790,0.8711950231481481,602170,691200
0001TP_008820,0.8638585069444444,597099,691200
0001TP_008850,0.8821976273148148,609775,691200
0001TP_008880,0.8557002314814814,591460,691200
0001TP_008910,0.8695717592592592,601048,691200
0001TP_008940,0.9044646990740741,625166,691200
0001TP_008970,0.8936270254629629,617675,691200
0001TP_009000,0.8553935185185185,591248,691200
0001TP_009090,0.8123408564814815,561490,691200
0001TP_009120,0.8482392939814815,586303,691200
0001TP_009150,0.9035141782407408,624509,691200
0001TP_009180,0.9345775462962963,645980,691200
0001TP_009330,0.9383333333333334,648576,691200
0001TP_009360,0.940625,650160,691200
0001TP_009570,0.9286212384259259,641863,691200
0001TP_009600,0.8967346643518519,619823,691200
0001TP_009630,0.8313396990740741,574622,691200
0001TP_009660,0.9298567708333333,642717,691200
0001TP_010170,0.8892375578703704,614641,691200
0001TP_010200,0.8361168981481482,577924,691200
0001TP_010230,0.8402242476851852,580763,691200
0001TP_010260,0.9119184027777778,630318,691200
0006R0_f00990,0.9268243634259259,640621,691200
0006R0_f01020,0.9192462384259259,635383,691200
0006R0_f01350,0.9211009837962963,636665,691200
0006R0_f01380,0.9157450810185185,632963,691200
0006R0_f01590,0.9166999421296296,633623,691200
0006R0_f01620,0.9253920717592593,639631,691200
0006R0_f01650,0.9013802083333333,623034,691200
0006R0_f01680,0.9059403935185185,626186,691200
0006R0_f02190,0.926796875,640602,691200
0006R0_f02220,0.9146122685185185,632180,691200
0006R0_f02250,0.9348943865740741,646199,691200
0006R0_f02280,0.9398408564814815,649618,691200
0006R0_f02490,0.926127025462963,640139,691200
0006R0_f02520,0.9316666666666666,643968,691200
0006R0_f02850,0.9267317708333334,640557,691200
0006R0_f02880,0.9392534722222222,649212,691200
0006R0_f03090,0.9722858796296296,672044,691200
0006R0_f03120,0.9643113425925925,666532,691200
0006R0_f03150,0.9231640625,638091,691200
0006R0_f03180,0.9234085648148148,638260,691200
0006R0_f03690,0.9127213541666667,630873,691200
0006R0_f03720,0.9156177662037037,632875,691200
0006R0_f03750,0.9139988425925926,631756,691200
0006R0_f03780,0.9153443287037037,632686,691200
0016E5_00420,0.8965509259259259,619696,691200
0016E5_00450,0.8919661458333333,616527,691200
0016E5_00780,0.8961458333333333,619416,691200
0016E5_00810,0.9263932291666667,640323,691200
0016E5_01020,0.9423958333333333,651384,691200
0016E5_01050,0.9135474537037037,631444,691200
0016E5_01080,0.9087080439814815,628099,691200
0016E5_01110,0.9247251157407408,639170,691200
0016E5_01620,0.9063093171296296,626441,691200
0016E5_01650,0.9496903935185185,656426,691200
0016E5_01680,0.9059027777777777,626160,691200
0016E5_01710,0.9158347800925926,633025,691200
0016E5_01920,0.905240162037037,625702,691200
0016E5_01950,0.915423900462963,632741,691200
0016E5_02280,0.9203804976851852,636167,691200
0016E5_02310,0.7747858796296296,535532,691200
0016E5_04440,0.9449565972222222,653154,691200
0016E5_04470,0.9574971064814815,661822,691200
0016E5_04500,0.9562572337962963,660965,691200
0016E5_04530,0.9574580439814815,661795,691200
0016E5_05040,0.9525173611111111,658380,691200
0016E5_05070,0.9478501157407407,655154,691200
0016E5_05100,0.9468995949074074,654497,691200
0016E5_05130,0.945658275462963,653639,691200
0016E5_05340,0.9485865162037037,655663,691200
0016E5_05370,0.9493446180555556,656187,691200
0016E5_05700,0.9485257523148148,655621,691200
0016E5_05730,0.9643287037037037,666544,691200
0016E5_05940,0.9635170717592593,665983,691200
0016E5_05970,0.9547294560185186,659909,691200
0016E5_06000,0.9355425347222223,646647,691200
0016E5_06030,0.9610286458333334,664263,691200
0016E5_06540,0.9334071180555555,645171,691200
0016E5_06570,0.9674406828703703,668695,691200
0016E5_06600,0.9545905671296296,659813,691200
0016E5_06630,0.8451822916666667,584190,691200
0016E5_06840,0.9493793402777778,656211,691200
0016E5_06870,0.9608347800925926,664129,691200
0016E5_07200,0.9506004050925926,657055,691200
0016E5_07230,0.9407219328703704,650227,691200
0016E5_07440,0.9458969907407407,653804,691200
0016E5_07470,0.9264655671296296,640373,691200
0016E5_07500,0.9136168981481482,631492,691200
0016E5_07530,0.8976244212962963,620438,691200
0016E5_07965,0.9691623263888889,669885,691200
0016E5_07967,0.9705570023148148,670849,691200
0016E5_07969,0.9700477430555555,670497,691200
0016E5_07971,0.9740465856481482,673261,691200
0016E5_07985,0.9478602430555556,655161,691200
0016E5_07987,0.9452488425925926,653356,691200
0016E5_08009,0.9687919560185185,669629,691200
0016E5_08011,0.9646600115740741,666773,691200
0016E5_08025,0.9586993634259259,662653,691200
0016E5_08027,0.9699291087962963,670415,691200
0016E5_08029,0.930697337962963,643298,691200
0016E5_08031,0.9277618634259259,641269,691200
0016E5_08065,0.9616319444444444,664680,691200
0016E5_08067,0.9607986111111111,664104,691200
0016E5_08069,0.959955150462963,663521,691200
0016E5_08071,0.96046875,663876,691200
0016E5_08085,0.9574594907407408,661796,691200
0016E5_08087,0.94953125,656316,691200
0016E5_08109,0.9673712384259259,668647,691200
0016E5_08111,0.9657364004629629,667517,691200
0016E5_08125,0.9452864583333334,653382,691200
0016E5_08127,0.9690610532407408,669815,691200
0016E5_08129,0.9707494212962963,670982,691200
0016E5_08131,0.972076099537037,671899,691200
0016E5_08250,0.9378067129629629,648212,691200
0016E5_08280,0.9206799768518519,636374,691200
0016E5_08310,0.9457219328703703,653683,691200
0016E5_08340,0.9345298032407408,645947,691200
0016E5_08550,0.8854557291666667,612027,691200
0016E5_08580,0.8797902199074074,608111,691200
Seq05VD_f00240,0.7567867476851852,523091,691200
Seq05VD_f00270,0.7828602430555556,541113,691200
Seq05VD_f00480,0.9511082175925926,657406,691200
Seq05VD_f00510,0.9555656828703704,660487,691200
Seq05VD_f00540,0.9472337962962963,654728,691200
Seq05VD_f00570,0.9547366898148149,659914,691200
Seq05VD_f01080,0.883203125,610470,691200
Seq05VD_f01110,0.9101171875,629073,691200
Seq05VD_f01140,0.9318402777777778,644088,691200
Seq05VD_f01170,0.9074074074074074,627200,691200
Seq05VD_f01380,0.9375014467592593,648001,691200
Seq05VD_f01410,0.8786096643518518,607295,691200
Seq05VD_f01740,0.8925853587962963,616955,691200
Seq05VD_f01770,0.9124522569444444,630687,691200
Seq05VD_f01980,0.9096759259259259,628768,691200
Seq05VD_f02010,0.8979094328703704,620635,691200
Seq05VD_f02040,0.9020211226851852,623477,691200
Seq05VD_f02070,0.9066666666666666,626688,691200
Seq05VD_f02580,0.9123582175925926,630622,691200
Seq05VD_f02610,0.9108637152777778,629589,691200
Seq05VD_f02640,0.9175274884259259,634195,691200
Seq05VD_f02670,0.9155931712962962,632858,691200
Seq05VD_f02880,0.9240350115740741,638693,691200
Seq05VD_f02910,0.9059375,626184,691200
Seq05VD_f03240,0.936629050925926,647398,691200
Seq05VD_f03270,0.9333666087962963,645143,691200
Seq05VD_f03480,0.9160706018518519,633188,691200
Seq05VD_f03510,0.8807016782407407,608741,691200
Seq05VD_f03540,0.7924305555555555,547728,691200
Seq05VD_f03570,0.8289322916666667,572958,691200
Seq05VD_f04080,0.9679181134259259,669025,691200
Seq05VD_f04110,0.9646469907407408,666764,691200
Seq05VD_f04140,0.9475086805555556,654918,691200
Seq05VD_f04170,0.8729123263888889,603357,691200
Seq05VD_f04380,0.9117216435185185,630182,691200
Seq05VD_f04410,0.9427199074074074,651608,691200
Seq05VD_f04740,0.9074103009259259,627202,691200
Seq05VD_f04770,0.8529571759259259,589564,691200
Seq05VD_f04980,0.8996831597222222,621861,691200
Seq05VD_f05010,0.7808420138888889,539718,691200
Seq05VD_f05040,0.7820109953703703,540526,691200
Seq05VD_f05070,0.7869212962962963,543920,691200
OVERALL ACCURACY,0.9005553123503355,,
